number,name,status
3129,Class Decorators,
3127,Integer Literal Support and Syntax,
3123,Making PyObject_HEAD conform to standard C,
3121,Extension Module Initialization and Finalization,
3120,Using UTF-8 as the default source encoding,
3118,Revising the buffer protocol,
3113,Removal of Tuple Parameter Unpacking,
3119,Introducing Abstract Base Classes,
3115,Metaclasses in Python 3000,
3114,Renaming iterator.next() to iterator.__next__(),
3116,New I/O,
3112,Bytes literals in Python 3000,
3111,Simple input built-in in Python 3000,
3110,Catching Exceptions in Python 3000,
3108,Standard Library Reorganization,
3107,Function Annotations,
3106,"Revamping dict.keys(), .values() and .items()",
3105,Make print a function,
3109,Raising Exceptions in Python 3000,
3102,Keyword-Only Arguments,
3101,Advanced String Formatting,
3104,Access to Names in Outer Scopes,
765,Disallow return/break/continue that exit a finally block,
757,C API to import-export Python integers,
741,Python Configuration C API,
742,Narrowing types with TypeIs,
737,C API to format a type fully qualified name,
738,Adding Android as a supported platform,
735,Dependency Groups in pyproject.toml,
740,Index support for digital attestations,
730,Adding iOS as a supported platform,
723,Inline script metadata,
721,Using tarfile.data_filter for source distribution extraction,
706,Filter for tarfile.extractall,
715,Disabling bdist_egg distribution uploads on PyPI,
705,TypedDict: Read-only items,
702,Marking deprecations using the type system,
709,Inlined comprehensions,
700,Additional Fields for the Simple API for Package Indexes,
698,Override Decorator for Static Typing,
697,Limited C API for Extending Opaque Types,
689,Unstable C API tier,
688,Making the buffer protocol accessible in Python,
692,Using TypedDict for more precise **kwargs typing,
695,Type Parameter Syntax,
696,Type Defaults for Type Parameters,
684,A Per-Interpreter GIL,
683,"Immortal Objects, Using a Fixed Refcount",
682,Format Specifier for Signed Zero,
681,Data Class Transforms,
678,Enriching Exceptions with Notes,
680,tomllib: Support for Parsing TOML in the Standard Library,
675,Arbitrary Literal String Type,
670,Convert macros to functions in the Python C API,
669,Low Impact Monitoring for CPython,
667,Consistent views of namespaces,
660,Editable installs for pyproject.toml based builds (wheel based),
656,Platform Tag for Linux Distributions Using Musl,
655,Marking individual TypedDict items as required or potentially-missing,
657,Include Fine Grained Error Locations in Tracebacks,
652,Maintaining the Stable ABI,
654,Exception Groups and except*,
647,User-Defined Type Guards,
621,Storing project metadata in pyproject.toml,
629,Versioning PyPI’s Simple API,
624,Remove Py_UNICODE encoder APIs,
626,Precise line numbers for debugging and other tools.,
628,Add,
627,Recording installed projects,
623,Remove wstr from Unicode,
618,Add Optional Length-Checking To zip,
617,New PEG parser for CPython,
616,String methods to remove prefixes and suffixes,
610,Recording the Direct URL Origin of installed distributions,
612,Parameter Specification Variables,
614,Relaxing Grammar Restrictions On Decorators,
615,Support for the IANA Time Zone Database in the Standard Library,
604,Allow writing union types as,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
597,Add optional EncodingWarning,
594,Removing dead batteries from the standard library,
593,Flexible function and variable annotations,
592,Adding “Yank” Support to the Simple API,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
591,Adding a final qualifier to typing,
587,Python Initialization Configuration,
586,Literal Types,
585,Type Hinting Generics In Standard Collections,
584,Add Union Operators To dict,
574,Pickle protocol 5 with out-of-band data,
578,Python Runtime Audit Hooks,
570,Python Positional-Only Parameters,
572,Assignment Expressions,
567,Context Variables,
573,Module State Access from C Extension Methods,
566,Metadata for Python Software Packages 2.1,
565,Show DeprecationWarning in __main__,
564,Add new time functions with nanosecond resolution,
562,Module __getattr__ and __dir__,
561,Distributing and Packaging Type Information,
552,Deterministic pycs,
560,Core support for typing module and generic types,
557,Data Classes,
553,Built-in breakpoint(),
544,Protocols: Structural subtyping (static duck typing),
540,Add a new UTF-8 Mode,
539,A New C-API for Thread-Local Storage in CPython,
538,Coercing the legacy C locale to a UTF-8 based locale,
530,Asynchronous Comprehensions,
529,Change Windows filesystem encoding to UTF-8,
527,Removing Un(der)used file types/extensions on PyPI,
528,Change Windows console encoding to UTF-8,
526,Syntax for Variable Annotations,
525,Asynchronous Generators,
524,Make os.urandom() blocking on Linux,
523,Adding a frame evaluation API to CPython,
520,Preserving Class Attribute Definition Order,
517,A build-system independent format for source trees,
519,Adding a file system path protocol,
518,Specifying Minimum Build System Requirements for Python Projects,
515,Underscores in Numeric Literals,
508,Dependency specification for Python Software Packages,
498,Literal String Interpolation,
506,Adding A Secrets Module To The Standard Library,
489,Multi-phase extension module initialization,
495,Local Time Disambiguation,
503,Simple Repository API,
492,Coroutines with async and await syntax,
493,HTTPS verification migration tools for Python 2.7,
488,Elimination of PYO files,
487,Simpler customisation of class creation,
486,Make the Python Launcher aware of virtual environments,
485,A Function for testing approximate equality,
484,Type Hints,
479,Change StopIteration handling inside generators,
476,Enabling certificate verification by default for stdlib http clients,
477,Backport ensurepip (PEP 453) to Python 2.7,
475,Retry system calls failing with EINTR,
466,Network Security Enhancements for Python 2.7.x,
468,Preserving the order of **kwargs in a function.,
471,os.scandir() function – a better and faster directory iterator,
465,A dedicated infix operator for matrix multiplication,
448,Additional Unpacking Generalizations,
454,Add a new tracemalloc module to trace Python memory allocations,
446,Make newly created file descriptors non-inheritable,
453,Explicit bootstrapping of pip in Python installations,
461,Adding % formatting to bytes and bytearray,
450,Adding A Statistics Module To The Standard Library,
456,Secure and interchangeable hash algorithm,
451,A ModuleSpec Type for the Import System,
445,Add new APIs to customize Python memory allocators,
443,Single-dispatch generic functions,
442,Safe object finalization,
440,Version Identification and Dependency Specification,
441,Improving Python ZIP Application Support,
436,The Argument Clinic DSL,
435,Adding an Enum type to the Python standard library,
428,The pathlib module – object-oriented filesystem paths,
427,The Wheel Binary Package Format 1.0,
421,Adding sys.implementation,
424,A method for exposing a length hint,
415,Implement context suppression with exception attributes,
417,Including mock in the Standard Library,
418,"Add monotonic time, performance counter, and process time functions",
414,Explicit Unicode Literal for Python 3.3,
420,Implicit Namespace Packages,
397,Python launcher for Windows,
412,Key-Sharing Dictionary,
405,Python Virtual Environments,
409,Suppressing exception context,
393,Flexible String Representation,
391,Dictionary-Based Configuration For Logging,
384,Defining a Stable ABI,
389,argparse - New Command Line Parsing Module,
380,Syntax for Delegating to a Subgenerator,
383,Non-decodable Bytes in System Character Interfaces,
376,Database of Installed Python Distributions,
372,Adding an ordered dictionary to collections,
378,Format Specifier for Thousands Separator,
371,Addition of the multiprocessing package to the standard library,
366,Main module explicit relative imports,
370,Per user site-packages directory,
362,Function Signature Object,
358,The “bytes” Object,
352,Required Superclass for Exceptions,
357,Allowing Any Object to be Used for Slicing,
353,Using ssize_t as the index type,
343,The “with” Statement,
341,Unifying try-except and try-finally,
342,Coroutines via Enhanced Generators,
338,Executing modules as scripts,
331,Locale-Independent Float/String Conversions,
328,Imports: Multi-Line and Absolute/Relative,
327,Decimal Data Type,
322,Reverse Iteration,
324,subprocess - New process module,
318,Decorators for Functions and Methods,
308,Conditional Expressions,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
309,Partial Function Application,
307,Extensions to the pickle protocol,
305,CSV File API,
302,New Import Hooks,
293,Codec Error Handling Callbacks,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
289,Generator Expressions,
285,Adding a bool type,
292,Simpler String Substitutions,
282,A Logging System,
279,The enumerate() built-in function,
278,Universal Newline Support,
277,Unicode file name support for Windows NT,
263,Defining Python Source Code Encodings,
264,Future statements in simulated shells,
273,Import Modules from Zip Archives,
274,Dict Comprehensions,
261,Support for “wide” Unicode characters,
260,Simplify xrange(),
255,Simple Generators,
253,Subtyping Built-in Types,
252,Making Types Look More Like Classes,
250,Using site-packages on Windows,
237,Unifying Long Integers and Integers,
238,Changing the Division Operator,
236,Back to the __future__,
235,Import on Case-Insensitive Platforms,
232,Function Attributes,
223,Change the Meaning of,
227,Statically Nested Scopes,
229,Using Distutils to Build Python,
221,Import As,
234,Iterators,
230,Warning Framework,
217,Display Hook for Interactive Use,
208,Reworking the Coercion Model,
207,Rich Comparisons,
214,Extended Print Statement,
203,Augmented Assignments,
202,List Comprehensions,
205,Weak References,
201,Lockstep Iteration,
100,Python Unicode Integration,
789,Preventing task-cancellation bugs by limiting yield in async generators,
787,Safer subprocess usage using t-strings,
785,New methods for easier handling of,
784,Adding Zstandard to the standard library,
783,Emscripten Packaging,
782,Add PyBytesWriter C API,
781,Make,
780,ABI features as environment markers,
779,Criteria for supported status for free-threaded Python,
777,How to Re-invent the Wheel,
775,Make zlib required to build CPython,
773,A Python Installation Manager for Windows,
776,Emscripten Support,
772,Packaging governance process,
774,Removing the LLVM requirement for JIT builds,
771,Default Extras for Python Software Packages,
769,"Add a ‘default’ keyword argument to ‘attrgetter’, ‘itemgetter’ and ‘getitem’",
767,Annotating Read-Only Attributes,
763,Limiting deletions on PyPI,
752,Implicit namespaces for package repositories,
766,Explicit Priority Choices Among Multiple Indexes,
755,Implicit namespace policy for PyPI,
749,Implementing PEP 649,
764,Inlined typed dictionaries,
748,A Unified TLS API for Python,
747,Annotating Type Forms,
746,Type checking Annotated metadata,
743,Add Py_COMPAT_API_VERSION to the Python C API,
728,TypedDict with Typed Extra Items,
744,JIT Compilation,
727,Documentation in Annotated Metadata,
725,Specifying external dependencies in pyproject.toml,
720,Cross-compiling Python packages,
718,Subscriptable functions,
710,Recording the provenance of installed packages,
711,PyBI: a standard format for distributing Python Binaries,
694,Upload 2.0 API for Python Package Indexes,
671,Syntax for late-bound function argument defaults,
679,Allow parentheses in assert statements,
653,Precise Semantics for Pattern Matching,
638,Syntactic Macros,
603,Adding a frozenmap type to collections,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
467,Minor API improvements for binary sequences,
768,Safe external debugger interface for CPython,
770,Improving measurability of Python packages with Software Bill-of-Materials,
758,Allow,
753,Uniform project URLs in core metadata,
750,Template Strings,
751,A file format to record Python dependencies for installation reproducibility,
714,Rename dist-info-metadata in the Simple API,
739,,
701,Syntactic formalization of f-strings,
699,Remove private dict version field added in PEP 509,
703,Making the Global Interpreter Lock Optional in CPython,
691,JSON-based Simple API for Python Package Indexes,
687,Isolating modules in the standard library,
686,Make UTF-8 mode default,
668,Marking Python base environments as “externally managed”,
685,Comparison of extra names for optional distribution dependencies,
658,Serve Distribution Metadata in the Simple Repository API,
590,Vectorcall: a fast calling protocol for CPython,
625,Filename of a Source Distribution,
563,Postponed Evaluation of Annotations,
458,Secure PyPI downloads with signed repository metadata,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
8106,2025 Term Steering Council election,
8102,2021 Term Steering Council election,
8103,2022 Term Steering Council election,
649,Deferred Evaluation Of Annotations Using Descriptors,
8105,2024 Term Steering Council election,
8101,2020 Term Steering Council election,
8104,2023 Term Steering Council election,
745,Python 3.14 Release Schedule,
8100,January 2019 Steering Council election,
8016,The Steering Council Model,
719,Python 3.13 Release Schedule,
8000,Python Language Governance Proposal Overview,
8002,Open Source Governance Survey,
3333,Python Web Server Gateway Interface v1.0.1,
801,Reserved,
762,REPL-acing the default REPL,
733,An Evaluation of Python’s Public C API,
693,Python 3.12 Release Schedule,
672,Unicode-related Security Considerations for Python,
664,Python 3.11 Release Schedule,
659,Specializing Adaptive Interpreter,
636,Structural Pattern Matching: Tutorial,
635,Structural Pattern Matching: Motivation and Rationale,
630,Isolating Extension Modules,
619,Python 3.10 Release Schedule,
607,Reducing CPython’s Feature Delivery Latency,
596,Python 3.9 Release Schedule,
588,GitHub Issues Migration Plan,
579,Refactoring C functions and methods,
514,Python registration in the Windows registry,
483,The Theory of Type Hints,
482,Literature Overview for Type Hints,
457,Notation For Positional-Only Parameters,
452,API for Cryptographic Hash Functions v2.0,
333,Python Web Server Gateway Interface v1.0,
434,IDLE Enhancement Exception for All Branches,
430,Migrating to Python 3 as the default online documentation,
399,Pure Python/C Accelerator Module Compatibility Requirements,
394,The “python” Command on Unix-Like Systems,
20,The Zen of Python,
101,Doing Python Releases 101,
761,Deprecating PGP signatures for CPython artifacts,
732,The Python Documentation Editorial Board,
731,C API Working Group Charter,
676,PEP Infrastructure Process,
729,Typing governance process,
609,Python Packaging Authority (PyPA) Governance,
602,Annual Release Cycle for Python,
545,Python Documentation Translations,
387,Backwards Compatibility Policy,
